participant,trial,encoding,task_type,task_set,answer,correct,confidence,time_ms
P01,1,violin_box,ranking,1,Chinstrap,1,5,51109
P01,2,violin_box,estimation,1,47,1,4,59105
P01,3,violin_box,decision,1,Disagree,1,4,281091
P01,4,hops_grid,ranking,2,Adelie,1,5,32332
P01,5,hops_grid,estimation,2,47.5,1,5,34519
P01,6,hops_grid,decision,2,Disagree,1,5,12152
P01,7,errorbar,ranking,3,Gentoo,1,5,13415
P01,8,errorbar,estimation,3,38.5,1,4,23349
P01,9,errorbar,decision,3,Agree,1,5,12772
P02,1,hops_grid,ranking,1,Chinstrap,1,3,25488
P02,2,hops_grid,estimation,1,49,1,3,14078
P02,3,hops_grid,decision,1,Disagree,1,3,22683
P02,4,errorbar,ranking,2,Adelie,1,3,60051
P02,5,errorbar,estimation,2,47,1,3,47581
P02,6,errorbar,decision,2,Agree,0,3,21266
P02,7,violin_box,ranking,3,Adelie,0,3,79611
P02,8,violin_box,estimation,3,38,1,3,65683
P02,9,violin_box,decision,3,Agree,1,3,39038
P03,1,hops_grid,ranking,1,Chinstrap,1,5,21149
P03,2,hops_grid,estimation,1,49,1,5,12492
P03,3,hops_grid,decision,1,Disagree,1,5,12258
P03,4,errorbar,ranking,2,Adelie,1,5,11878
P03,5,errorbar,estimation,2,48,1,5,50471
P03,6,errorbar,decision,2,Disagree,1,5,22316
P03,7,violin_box,ranking,3,Gentoo,1,5,24119
P03,8,violin_box,estimation,3,38.5,1,5,66400
P03,9,violin_box,decision,3,Agree,1,5,23072
P04,1,errorbar,ranking,1,Chinstrap,1,5,10062
P04,2,errorbar,estimation,1,49.5,1,5,15799
P04,3,errorbar,decision,1,Disagree,1,5,21492
P04,4,violin_box,ranking,2,Adelie,1,5,10475
P04,5,violin_box,estimation,2,47.8,1,5,35720
P04,6,violin_box,decision,2,Disagree,1,5,29130
P04,7,hops_grid,ranking,3,Gentoo,1,5,20669
P04,8,hops_grid,estimation,3,39.2,1,5,18553
P04,9,hops_grid,decision,3,Agree,1,4,34508
P05,1,violin_box,ranking,1,Chinstrap,1,4,11229
P05,2,violin_box,estimation,1,48.5,1,4,8699
P05,3,violin_box,decision,1,Agree,0,3,29165
P05,4,hops_grid,ranking,2,Adelie,1,5,20843
P05,5,hops_grid,estimation,2,47,1,4,26364
P05,6,hops_grid,decision,2,Disagree,1,5,14508
P05,7,errorbar,ranking,3,Gentoo,1,5,53214
P05,8,errorbar,estimation,3,38,1,4,19807
P05,9,errorbar,decision,3,Agree,1,4,10528
P06,1,errorbar,ranking,1,Chinstrap,1,4,12642
P06,2,errorbar,estimation,1,48,1,4,9916
P06,3,errorbar,decision,1,Disagree,1,4,15164
P06,4,violin_box,ranking,2,Gentoo,0,3,27540
P06,5,violin_box,estimation,2,47.8,1,3,37990
P06,6,violin_box,decision,2,Disagree,1,4,8176
P06,7,hops_grid,ranking,3,Gentoo,1,4,12230
P06,8,hops_grid,estimation,3,38.5,1,4,13971
P06,9,hops_grid,decision,3,Agree,1,5,23131
P07,1,hops_grid,ranking,1,Chinstrap,1,5,14151
P07,2,hops_grid,estimation,1,49.2,1,4,17728
P07,3,hops_grid,decision,1,Disagree,1,5,26526
P07,4,errorbar,ranking,2,Adelie,1,5,13831
P07,5,errorbar,estimation,2,47,1,5,21535
P07,6,errorbar,decision,2,Disagree,1,5,47440
P07,7,violin_box,ranking,3,Gentoo,1,5,11299
P07,8,violin_box,estimation,3,38.5,1,4,66358
P07,9,violin_box,decision,3,Agree,1,5,21480
P08,1,hops_grid,ranking,1,Chinstrap,1,3,23779
P08,2,hops_grid,estimation,1,48.5,1,3,20034
